objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,mCr4_u,mCr4_g,mCr4_r,mCr4_i,mCr4_z,mCr4PSF_u,mCr4PSF_g,mCr4PSF_r,mCr4PSF_i,mCr4PSF_z,petroR50_u,petroR50_g,petroR50_r,petroR50_i,petroR50_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,type,specobjid,class,subClass,redshift,plate,mjd,fiberid,sourceType,nvote,p_el,p_cw,p_acw,p_edge,p_dk,p_mg
1.23765E+18,7.201413739,14.95267887,22.73537,20.49924,18.70604,18.07674,17.69175,1904,301,3,197,0.03151042,2.221044,2.317344,2.331975,2.271163,2.043541,2.030854,2.024915,2.021269,2.035562,9.778504,3.985317,3.765243,2.148313,3.27674,11.55502,8.354458,13.32508,6.633879,9.562881,3,4.69597E+17,GALAXY,,0.3686446,417,51821,351,GALAXY,39,0.82099998,0,0,0.050999999,0.128000006,0
1.23765E+18,7.337472229,15.40244884,24.73387,21.26896,19.31929,18.58093,18.09828,1904,301,4,198,-0.002932557,1.956679,2.204057,2.246065,2.21125,2.037829,2.049339,2.011221,2.017008,2.052968,7.329556,1.157534,1.667054,1.497389,1.248967,7.4824,1.745043,4.468584,3.806557,2.644251,3,4.69608E+17,GALAXY,,0.4211992,417,51821,393,GALAXY,42,0.595000029,0.024,0.024,0.048,0.310000002,0
1.23765E+18,8.278597324,15.36352364,26.32964,20.57957,18.71448,17.97651,17.44507,1904,301,4,204,-9999,2.347198,2.386973,2.372007,2.288133,2.045474,2.035884,2.023021,2.034353,2.027303,10.66369,2.7482,2.408606,2.336646,1.697197,11.22034,8.545469,6.135632,7.000451,4.728063,3,4.69654E+17,GALAXY,,0.3181188,417,51821,559,QA,31,0.741999984,0,0.032000002,0.064999998,0.128999993,0.032000002
1.23765E+18,8.301460639,15.64315975,22.84615,19.96865,18.32498,17.6994,17.28392,1904,301,5,204,-0.1483644,2.364404,2.31051,2.33786,2.374649,2.027228,2.062015,2.022995,2.02018,2.054213,6.926942,2.805217,2.01638,2.131593,2.214433,9.644907,8.114537,6.297263,7.103683,8.47647,3,4.69659E+17,GALAXY,,0.3162343,417,51821,578,QA,28,0.75,0,0.035999998,0.035999998,0.107000001,0.071000002
1.23765E+18,8.672031497,15.2862287,22.55875,20.96035,19.31732,18.4822,18.01937,1904,301,4,206,0.2015314,2.455664,2.281136,2.305071,2.250917,2.040601,2.026056,2.030169,2.038752,2.029838,8.88998,3.39213,2.112573,1.720136,0.6710506,13.38365,6.729798,6.793103,6.214812,1.042997,3,4.69661E+17,GALAXY,,0.4715793,417,51821,585,GALAXY,26,0.731000006,0,0,0.037999999,0.231000006,0
1.23765E+18,8.843325131,15.63742834,23.37193,21.8714,20.72396,20.3574,19.94724,1904,301,5,207,0.4134465,2.097069,1.937008,2.074504,1.965324,2.036286,2.065584,2.016833,2.024714,2.062113,0.9321381,0.6540747,0.6534485,0.6836579,0.6068927,2.376411,1.175091,1.257682,1.342842,1.005759,6,4.69667E+17,GALAXY,STARBURST,0.32175,417,51821,607,QSO,23,0.522000015,0,0,0.086999997,0.34799999,0.043000001
1.23765E+18,8.648992038,15.7301583,22.89806,20.86135,18.94167,18.23831,17.76552,1904,301,5,206,-0.3524313,2.310653,2.304578,2.349626,2.326036,2.039815,2.036563,2.023194,2.010769,2.065219,3.307609,1.726995,1.762846,2.163524,1.350551,4.29102,4.805135,5.84395,8.642455,3.899599,3,4.69668E+17,GALAXY,,0.3985363,417,51821,609,QA,28,0.893000007,0,0,0.035999998,0.071000002,0
1.23765E+18,8.771537094,15.23829133,24.671,21.58394,19.81612,18.91524,18.44547,1904,301,4,207,0.5710671,2.150676,2.242808,2.278279,2.24791,2.04352,2.021966,2.034159,2.029233,2.02848,3.590619,1.433874,1.209526,1.327418,1.36589,4.87074,3.651175,2.945622,3.512698,3.930048,3,4.69672E+17,GALAXY,,0.4779533,417,51821,623,QA,25,0.479999989,0.079999998,0,0.079999998,0.319999993,0.039999999
1.23765E+18,10.89628379,14.75851907,22.43886,20.76417,18.90691,18.29114,17.76153,1904,301,3,221,1.428091,2.297992,2.222175,2.305747,2.322015,2.049727,2.031609,2.065666,2.039327,2.058733,7.260359,2.092715,1.644155,1.468498,1.683999,9.241378,7.828449,4.442251,3.857393,5.720363,3,4.70632E+17,GALAXY,,0.3466426,418,51817,21,QA,25,0.720000029,0.039999999,0,0.079999998,0.159999996,0
1.23765E+18,10.89628379,14.75851907,22.43886,20.76417,18.90691,18.29114,17.76153,1904,301,3,221,1.428091,2.297992,2.222175,2.305747,2.322015,2.049727,2.031609,2.065666,2.039327,2.058733,7.260359,2.092715,1.644155,1.468498,1.683999,9.241378,7.828449,4.442251,3.857393,5.720363,3,4.70633E+17,GALAXY,,0.3466825,418,51884,24,QA,25,0.720000029,0.039999999,0,0.079999998,0.159999996,0
